college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
College of Health & Human Services,Infectious Disease epidemiology,1,https:\/\/pages.charlotte.edu\/connections\/links\/infectious-disease-epidemiology\/,Infectious Disease epidemiology,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,,,,
College of Health & Human Services,internal medicine,1,https:\/\/pages.charlotte.edu\/connections\/links\/internal-medicine\/,internal medicine,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,,,,
College of Health & Human Services,public health,7,https:\/\/pages.charlotte.edu\/connections\/links\/public-health\/,public health,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/
College of Health & Human Services,translational medical research,1,https:\/\/pages.charlotte.edu\/connections\/links\/translational-medical-research\/,translational medical research,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,,,,
College of Health & Human Services,diversity,25,https:\/\/pages.charlotte.edu\/connections\/links\/diversity\/,diversity,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/
College of Health & Human Services,health administration,2,https:\/\/pages.charlotte.edu\/connections\/links\/health-administration\/,health administration,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Michael E Thompson,https://pages.charlotte.edu/connections/people/michael-e-thompson/,,
College of Health & Human Services,health disparities,14,https:\/\/pages.charlotte.edu\/connections\/links\/health-disparities\/,health disparities,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,Lorenzo Hopper,https://pages.charlotte.edu/connections/people/lhopper6/
College of Health & Human Services,health promotion,5,https:\/\/pages.charlotte.edu\/connections\/links\/health-promotion\/,health promotion,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Othelia E Lee,https://pages.charlotte.edu/connections/people/othelia-e-lee/,Meredith L Troutman-Jordan,https://pages.charlotte.edu/connections/people/meredith-l-troutman-jordan/
College of Health & Human Services,leadership,3,https:\/\/pages.charlotte.edu\/connections\/links\/leadership\/,leadership,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/
College of Health & Human Services,social justice,4,https:\/\/pages.charlotte.edu\/connections\/links\/social-justice\/,social justice,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,Beth Murray,https://pages.charlotte.edu/connections/people/emurra17/
College of Health & Human Services,vulnerable populations,11,https:\/\/pages.charlotte.edu\/connections\/links\/vulnerable-populations\/,vulnerable populations,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,John Nance,https://pages.charlotte.edu/connections/people/jcnance/
College of Health & Human Services,community interventions,1,https:\/\/pages.charlotte.edu\/connections\/links\/community-interventions\/,community interventions,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,,,,
College of Health & Human Services,digital equity,1,https:\/\/pages.charlotte.edu\/connections\/links\/digital-equity\/,digital equity,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,,,,
College of Health & Human Services,economic opportunity,1,https:\/\/pages.charlotte.edu\/connections\/links\/economic-opportunity\/,economic opportunity,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,,,,
College of Health & Human Services,income and wealth,1,https:\/\/pages.charlotte.edu\/connections\/links\/income-and-wealth\/,income and wealth,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,,,,
College of Health & Human Services,race,21,https:\/\/pages.charlotte.edu\/connections\/links\/race\/,race,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/
College of Health & Human Services,social welfare policy,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-welfare-policy\/,social welfare policy,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,,,,
College of Health & Human Services,father involvement,1,https:\/\/pages.charlotte.edu\/connections\/links\/father-involvement\/,father involvement,Lorenzo Hopper,https://pages.charlotte.edu/connections/people/lhopper6/,,,,
College of Health & Human Services,maternal and child health,1,https:\/\/pages.charlotte.edu\/connections\/links\/maternal-and-child-health\/,maternal and child health,Lorenzo Hopper,https://pages.charlotte.edu/connections/people/lhopper6/,,,,
College of Health & Human Services,minority populations,2,https:\/\/pages.charlotte.edu\/connections\/links\/minority-populations\/,minority populations,Lorenzo Hopper,https://pages.charlotte.edu/connections/people/lhopper6/,Crystal N Piper,https://pages.charlotte.edu/connections/people/crystal-n-piper/,,
College of Health & Human Services,community health,2,https:\/\/pages.charlotte.edu\/connections\/links\/community-health\/,community health,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Mark DeHaven,https://pages.charlotte.edu/connections/people/mdehave1/,,
College of Health & Human Services,gender,27,https:\/\/pages.charlotte.edu\/connections\/links\/gender\/,gender,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/
College of Health & Human Services,HIV prevention,2,https:\/\/pages.charlotte.edu\/connections\/links\/hiv-prevention\/,HIV prevention,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Judith B Cornelius,https://pages.charlotte.edu/connections/people/judith-b-cornelius/,,
College of Health & Human Services,sexuality,13,https:\/\/pages.charlotte.edu\/connections\/links\/sexuality\/,sexuality,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
College of Health & Human Services,social capital,2,https:\/\/pages.charlotte.edu\/connections\/links\/social-capital\/,social capital,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Jose Gamez,https://pages.charlotte.edu/connections/people/jlgamez/,,
College of Health & Human Services,social epidemiology,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-epidemiology\/,social epidemiology,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,,,,
College of Health & Human Services,data science,6,https:\/\/pages.charlotte.edu\/connections\/links\/data-science\/,data science,Douglas Hague,https://pages.charlotte.edu/connections/people/dhague/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/
